id,Label,Annotated Positive Document,Correct Annotated Positive Document,Annotated Negative Document,Correct Annotated Negative Document,summary,Document
305,,,,,,"Goal-oriented dialogue has been paid attention for its numerous applicationsin artificial intelligence. To solve this task, deep learning and reinforcementlearning have recently been applied. However, these approaches struggle to finda competent recurrent neural questioner, owing to the complexity of learning aseries of sentences. Motivated by theory of mind, we propose ""Answerer inQuestioner's Mind"" (AQM), a novel algorithm for goal-oriented dialogue. WithAQM, a questioner asks and infers based on an approximated probabilistic modelof the answerer. The questioner figures out the answerer's intent via selectinga plausible question by explicitly calculating the information gain of thecandidate intentions and possible answers to each question. We test ourframework on two goal-oriented visual dialogue tasks: ""MNIST Counting Dialog""and ""GuessWhat?!."" In our experiments, AQM outperforms comparative algorithmsand makes human-like dialogue. We further use AQM as a tool for analyzing themechanism of deep reinforcement learning approach and discuss the futuredirection of practical goal-oriented neural dialogue systems.",Answerer in Questioner's Mind for Goal-Oriented Visual Dialogue
306,,,,,,"We study the problem of structured prediction under test-time budgetconstraints. We propose a novel approach applicable to a wide range ofstructured prediction problems in computer vision and natural languageprocessing. Our approach seeks to adaptively generate computationally costlyfeatures during test-time in order to reduce the computational cost ofprediction while maintaining prediction performance. We show that training theadaptive feature generation system can be reduced to a series of structuredlearning problems, resulting in efficient training using existing structuredlearning algorithms. This framework provides theoretical justification forseveral existing heuristic approaches found in literature. We evaluate ourproposed adaptive system on two structured prediction tasks, optical characterrecognition (OCR) and dependency parsing and show strong performance inreduction of the feature costs without degrading accuracy.",Resource Constrained Structured Prediction
307,Nuclear,Nuclear,,,,"We propose a neural sequence-to-sequence model for direction following, atask that is essential to realizing effective autonomous agents. Ouralignment-based encoder-decoder model with long short-term memory recurrentneural networks (LSTM-RNN) translates natural language instructions to actionsequences based upon a representation of the observable world state. Weintroduce a multi-level aligner that empowers our model to focus on sentence""regions"" salient to the current world state by using multiple abstractions ofthe input sentence. In contrast to existing methods, our model uses nospecialized linguistic resources (e.g., parsers) or task-specific annotations(e.g., seed lexicons). It is therefore generalizable, yet still achieves thebest results reported to-date on a benchmark single-sentence dataset andcompetitive results for the limited-training multi-sentence setting. We analyzeour model through a series of ablations that elucidate the contributions of theprimary components of our model.","Listen, Attend, and Walk: Neural Mapping of Navigational Instructions to  Action Sequences"
308,Physics,Physics,,,,"Building neural networks to query a knowledge base (a table) with naturallanguage is an emerging research topic in deep learning. An executor for tablequerying typically requires multiple steps of execution because queries mayhave complicated structures. In previous studies, researchers have developedeither fully distributed executors or symbolic executors for table querying. Adistributed executor can be trained in an end-to-end fashion, but is weak interms of execution efficiency and explicit interpretability. A symbolicexecutor is efficient in execution, but is very difficult to train especiallyat initial stages. In this paper, we propose to couple distributed and symbolicexecution for natural language queries, where the symbolic executor ispretrained with the distributed executor's intermediate execution results in astep-by-step fashion. Experiments show that our approach significantlyoutperforms both distributed and symbolic executors, exhibiting high accuracy,high learning efficiency, high execution efficiency, and high interpretability.",Coupling Distributed and Symbolic Execution for Natural Language Queries
309,,,,,,"Due to the huge availability of documents in digital form, and the deceptionpossibility raise bound to the essence of digital documents and the way theyare spread, the authorship attribution problem has constantly increased itsrelevance. Nowadays, authorship attribution,for both information retrieval andanalysis, has gained great importance in the context of security, trust andcopyright preservation. This work proposes an innovative multi-agent drivenmachine learning technique that has been developed for authorship attribution.By means of a preprocessing for word-grouping and time-period related analysisof the common lexicon, we determine a bias reference level for the recurrencefrequency of the words within analysed texts, and then train a Radial BasisNeural Networks (RBPNN)-based classifier to identify the correct author. Themain advantage of the proposed approach lies in the generality of the semanticanalysis, which can be applied to different contexts and lexical domains,without requiring any modification. Moreover, the proposed system is able toincorporate an external input, meant to tune the classifier, and thenself-adjust by means of continuous learning reinforcement.",An agent-driven semantical identifier using radial basis neural networks  and reinforcement learning
310,,,,,,"Humans and animals are constantly exposed to a continuous stream of sensoryinformation from different modalities. At the same time, they form morecompressed representations like concepts or symbols. In species that uselanguage, this process is further structured by this interaction, where amapping between the sensorimotor concepts and linguistic elements needs to beestablished. There is evidence that children might be learning language bysimply disambiguating potential meanings based on multiple exposures toutterances in different contexts (cross-situational learning). In existingmodels, the mapping between modalities is usually found in a single step bydirectly using frequencies of referent and meaning co-occurrences. In thispaper, we present an extension of this one-step mapping and introduce a newlyproposed sequential mapping algorithm together with a publicly available Matlabimplementation. For demonstration, we have chosen a less typical scenario:instead of learning to associate objects with their names, we focus on bodyrepresentations. A humanoid robot is receiving tactile stimulations on itsbody, while at the same time listening to utterances of the body part names(e.g., hand, forearm and torso). With the goal at arriving at the correct ""bodycategories"", we demonstrate how a sequential mapping algorithm outperformsone-step mapping. In addition, the effect of data set size and noise in thelinguistic input are studied.",Where is my forearm? Clustering of body parts from simultaneous tactile  and linguistic input using sequential mapping
311,DV,DV,,,,"Deep Convolutional Neural Networks (CNNs) are more powerful than Deep NeuralNetworks (DNN), as they are able to better reduce spectral variation in theinput signal. This has also been confirmed experimentally, with CNNs showingimprovements in word error rate (WER) between 4-12% relative compared to DNNsacross a variety of LVCSR tasks. In this paper, we describe different methodsto further improve CNN performance. First, we conduct a deep analysis comparinglimited weight sharing and full weight sharing with state-of-the-art features.Second, we apply various pooling strategies that have shown improvements incomputer vision to an LVCSR speech task. Third, we introduce a method toeffectively incorporate speaker adaptation, namely fMLLR, into log-melfeatures. Fourth, we introduce an effective strategy to use dropout duringHessian-free sequence training. We find that with these improvements,particularly with fMLLR and dropout, we are able to achieve an additional 2-3%relative improvement in WER on a 50-hour Broadcast News task over our previousbest CNN baseline. On a larger 400-hour BN task, we find an additional 4-5%relative improvement over our previous best CNN baseline.",Improvements to deep convolutional neural networks for LVCSR
312,Physics,Physics,,,,"Collaborative filtering (CF) is a successful approach commonly used by manyrecommender systems. Conventional CF-based methods use the ratings given toitems by users as the sole source of information for learning to makerecommendation. However, the ratings are often very sparse in manyapplications, causing CF-based methods to degrade significantly in theirrecommendation performance. To address this sparsity problem, auxiliaryinformation such as item content information may be utilized. Collaborativetopic regression (CTR) is an appealing recent method taking this approach whichtightly couples the two components that learn from two different sources ofinformation. Nevertheless, the latent representation learned by CTR may not bevery effective when the auxiliary information is very sparse. To address thisproblem, we generalize recent advances in deep learning from i.i.d. input tonon-i.i.d. (CF-based) input and propose in this paper a hierarchical Bayesianmodel called collaborative deep learning (CDL), which jointly performs deeprepresentation learning for the content information and collaborative filteringfor the ratings (feedback) matrix. Extensive experiments on three real-worlddatasets from different domains show that CDL can significantly advance thestate of the art.",Collaborative Deep Learning for Recommender Systems
313,Physics,Physics,,,,"Layer-wise relevance propagation (LRP) is a recently proposed technique forexplaining predictions of complex non-linear classifiers in terms of inputvariables. In this paper, we apply LRP for the first time to natural languageprocessing (NLP). More precisely, we use it to explain the predictions of aconvolutional neural network (CNN) trained on a topic categorization task. Ouranalysis highlights which words are relevant for a specific prediction of theCNN. We compare our technique to standard sensitivity analysis, bothqualitatively and quantitatively, using a ""word deleting"" perturbationexperiment, a PCA analysis, and various visualizations. All experimentsvalidate the suitability of LRP for explaining the CNN predictions, which isalso in line with results reported in recent image classification studies.",Explaining Predictions of Non-Linear Classifiers in NLP
314,Physics,Physics,,,,"We propose a new statistical model suitable for machine learning of systemswith long distance correlations such as natural languages. The model is basedon directed acyclic graph decorated by multi-linear tensor maps in the verticesand vector spaces in the edges, called tensor network. Such tensor networkshave been previously employed for effective numerical computation of therenormalization group flow on the space of effective quantum field theories andlattice models of statistical mechanics. We provide explicit algebro-geometricanalysis of the parameter moduli space for tree graphs, discuss modelproperties and applications such as statistical translation.",Tensor network language model
315,Physics,Physics,,,,"We propose a statistical model for natural language that begins byconsidering language as a monoid, then representing it in complex matrices witha compatible translation invariant probability measure. We interpret theprobability measure as arising via the Born rule from a translation invariantmatrix product state.",Language as a matrix product state
316,,,,,,"Hessian-free training has become a popular parallel second or- deroptimization technique for Deep Neural Network training. This study aims atspeeding up Hessian-free training, both by means of decreasing the amount ofdata used for training, as well as through reduction of the number of Krylovsubspace solver iterations used for implicit estimation of the Hessian. In thispaper, we develop an L-BFGS based preconditioning scheme that avoids the needto access the Hessian explicitly. Since L-BFGS cannot be regarded as afixed-point iteration, we further propose the employment of flexible Krylovsubspace solvers that retain the desired theoretical convergence guarantees oftheir conventional counterparts. Second, we propose a new sampling algorithm,which geometrically increases the amount of data utilized for gradient andKrylov subspace iteration calculations. On a 50-hr English Broadcast News task,we find that these methodologies provide roughly a 1.5x speed-up, whereas, on a300-hr Switchboard task, these techniques provide over a 2.3x speedup, with noloss in WER. These results suggest that even further speed-up is expected, asproblems scale and complexity grows.",Accelerating Hessian-free optimization for deep neural networks by  implicit preconditioning and sampling
317,Nuclear,Nuclear,,,,"While textual reviews have become prominent in many recommendation-basedsystems, automated frameworks to provide relevant visual cues against textreviews where pictures are not available is a new form of task confronted bydata mining and machine learning researchers. Suggestions of pictures that arerelevant to the content of a review could significantly benefit the users byincreasing the effectiveness of a review. We propose a deep learning-basedframework to automatically: (1) tag the images available in a review dataset,(2) generate a caption for each image that does not have one, and (3) enhanceeach review by recommending relevant images that might not be uploaded by thecorresponding reviewer. We evaluate the proposed framework using the YelpChallenge Dataset. While a subset of the images in this particular dataset arecorrectly captioned, the majority of the pictures do not have any associatedtext. Moreover, there is no mapping between reviews and images. Each image hasa corresponding business-tag where the picture was taken, though. The overalldata setting and unavailability of crucial pieces required for a mapping makethe problem of recommending images for reviews a major challenge. Qualitativeand quantitative evaluations indicate that our proposed framework provides highquality enhancements through automatic captioning, tagging, and recommendationfor mapping reviews and images.",Is a Picture Worth Ten Thousand Words in a Review Dataset?
318,,,,,,"Linear principal component analysis (PCA) can be extended to a nonlinear PCAby using artificial neural networks. But the benefit of curved componentsrequires a careful control of the model complexity. Moreover, standardtechniques for model selection, including cross-validation and more generallythe use of an independent test set, fail when applied to nonlinear PCA becauseof its inherent unsupervised characteristics. This paper presents a newapproach for validating the complexity of nonlinear PCA models by using theerror in missing data estimation as a criterion for model selection. It ismotivated by the idea that only the model of optimal complexity is able topredict missing values with the highest accuracy. While standard test setvalidation usually favours over-fitted nonlinear PCA models, the proposed modelvalidation approach correctly selects the optimal model complexity.",Validation of nonlinear PCA
319,Physics,Physics,,,,"We consider the problem of learning from a similarity matrix (such asspectral clustering and lowd imensional embedding), when computing pairwisesimilarities are costly, and only a limited number of entries can be observed.We provide a theoretical analysis using standard notions of graphapproximation, significantly generalizing previous results (which focused onspectral clustering with two clusters). We also propose a new algorithmicapproach based on adaptive sampling, which experimentally matches or improveson previous methods, while being considerably more general and computationallycheaper.",Graph Approximation and Clustering on a Budget
320,,,,,,"Multiclass prediction is the problem of classifying an object into a relevanttarget class. We consider the problem of learning a multiclass predictor thatuses only few features, and in particular, the number of used features shouldincrease sub-linearly with the number of possible classes. This implies thatfeatures should be shared by several classes. We describe and analyze theShareBoost algorithm for learning a multiclass predictor that uses few sharedfeatures. We prove that ShareBoost efficiently finds a predictor that uses fewshared features (if such a predictor exists) and that it has a smallgeneralization error. We also describe how to use ShareBoost for learning anon-linear predictor that has a fast evaluation time. In a series ofexperiments with natural data sets we demonstrate the benefits of ShareBoostand evaluate its success relatively to other state-of-the-art approaches.",ShareBoost: Efficient Multiclass Learning with Feature Sharing
321,Nuclear,,,Nuclear,,"Due to advances in sensors, growing large and complex medical image data havethe ability to visualize the pathological change in the cellular or even themolecular level or anatomical changes in tissues and organs. As a consequence,the medical images have the potential to enhance diagnosis of disease,prediction of clinical outcomes, characterization of disease progression,management of health care and development of treatments, but also pose greatmethodological and computational challenges for representation and selection offeatures in image cluster analysis. To address these challenges, we firstextend one dimensional functional principal component analysis to the twodimensional functional principle component analyses (2DFPCA) to fully capturespace variation of image signals. Image signals contain a large number ofredundant and irrelevant features which provide no additional or no usefulinformation for cluster analysis. Widely used methods for removing redundantand irrelevant features are sparse clustering algorithms using a lasso-typepenalty to select the features. However, the accuracy of clustering using alasso-type penalty depends on how to select penalty parameters and a thresholdfor selecting features. In practice, they are difficult to determine. Recently,randomized algorithms have received a great deal of attention in big dataanalysis. This paper presents a randomized algorithm for accurate featureselection in image cluster analysis. The proposed method is applied to ovarianand kidney cancer histology image data from the TCGA database. The resultsdemonstrate that the randomized feature selection method coupled withfunctional principal component analysis substantially outperforms the currentsparse clustering algorithms in image cluster analysis.",Functional Principal Component Analysis and Randomized Sparse Clustering  Algorithm for Medical Image Analysis
322,Chemistry,Chemistry,,,,"Similarity between objects is multi-faceted and it can be easier for humanannotators to measure it when the focus is on a specific aspect. We considerthe problem of mapping objects into view-specific embeddings where the distancebetween them is consistent with the similarity comparisons of the form ""fromthe t-th view, object A is more similar to B than to C"". Our framework jointlylearns view-specific embeddings exploiting correlations between views.Experiments on a number of datasets, including one of multi-view crowdsourcedcomparison on bird images, show the proposed method achieves lower tripletgeneralization error when compared to both learning embeddings independentlyfor each view and all views pooled into one view. Our method can also be usedto learn multiple measures of similarity over input features taking classlabels into account and compares favorably to existing approaches formulti-task metric learning on the ISOLET dataset.",Jointly Learning Multiple Measures of Similarities from Triplet  Comparisons
323,,,,,,"The Gaussian process latent variable model (GP-LVM) provides a flexibleapproach for non-linear dimensionality reduction that has been widely applied.However, the current approach for training GP-LVMs is based on maximumlikelihood, where the latent projection variables are maximized over ratherthan integrated out. In this paper we present a Bayesian method for trainingGP-LVMs by introducing a non-standard variational inference framework thatallows to approximately integrate out the latent variables and subsequentlytrain a GP-LVM by maximizing an analytic lower bound on the exact marginallikelihood. We apply this method for learning a GP-LVM from iid observationsand for learning non-linear dynamical systems where the observations aretemporally correlated. We show that a benefit of the variational Bayesianprocedure is its robustness to overfitting and its ability to automaticallyselect the dimensionality of the nonlinear latent space. The resultingframework is generic, flexible and easy to extend for other purposes, such asGaussian process regression with uncertain inputs and semi-supervised Gaussianprocesses. We demonstrate our method on synthetic data and standard machinelearning benchmarks, as well as challenging real world datasets, including highresolution video data.",Variational Inference for Uncertainty on the Inputs of Gaussian Process  Models
324,,,,,,"Generative Adversarial Nets [8] were recently introduced as a novel way totrain generative models. In this work we introduce the conditional version ofgenerative adversarial nets, which can be constructed by simply feeding thedata, y, we wish to condition on to both the generator and discriminator. Weshow that this model can generate MNIST digits conditioned on class labels. Wealso illustrate how this model could be used to learn a multi-modal model, andprovide preliminary examples of an application to image tagging in which wedemonstrate how this approach can generate descriptive tags which are not partof training labels.",Conditional Generative Adversarial Nets
325,,,,,,"We provide a rigorous definition of the visual cause of a behavior that isbroadly applicable to the visually driven behavior in humans, animals, neurons,robots and other perceiving systems. Our framework generalizes standardaccounts of causal learning to settings in which the causal variables need tobe constructed from micro-variables. We prove the Causal Coarsening Theorem,which allows us to gain causal knowledge from observational data with minimalexperimental effort. The theorem provides a connection to standard inferencetechniques in machine learning that identify features of an image thatcorrelate with, but may not cause, the target behavior. Finally, we propose anactive learning scheme to learn a manipulator function that performs optimalmanipulations on the image to automatically identify the visual cause of atarget behavior. We illustrate our inference and learning algorithms inexperiments based on both synthetic and real data.",Visual Causal Feature Learning
326,Physics,Physics,,,,"We present experiments demonstrating that some other form of capacitycontrol, different from network size, plays a central role in learningmultilayer feed-forward networks. We argue, partially through analogy to matrixfactorization, that this is an inductive bias that can help shed light on deeplearning.",In Search of the Real Inductive Bias: On the Role of Implicit  Regularization in Deep Learning
327,,,,,,"The problem of domain generalization is to take knowledge acquired from anumber of related domains where training data is available, and to thensuccessfully apply it to previously unseen domains. We propose a new featurelearning algorithm, Multi-Task Autoencoder (MTAE), that provides goodgeneralization performance for cross-domain object recognition.  Our algorithm extends the standard denoising autoencoder framework bysubstituting artificially induced corruption with naturally occurringinter-domain variability in the appearance of objects. Instead ofreconstructing images from noisy versions, MTAE learns to transform theoriginal image into analogs in multiple related domains. It thereby learnsfeatures that are robust to variations across domains. The learnt features arethen used as inputs to a classifier.  We evaluated the performance of the algorithm on benchmark image recognitiondatasets, where the task is to learn features from multiple datasets and tothen predict the image label from unseen datasets. We found that (denoising)MTAE outperforms alternative autoencoder-based models as well as the currentstate-of-the-art algorithms for domain generalization.",Domain Generalization for Object Recognition with Multi-task  Autoencoders
328,Nuclear,,,Nuclear,,"Data-efficient reinforcement learning (RL) in continuous state-action spacesusing very high-dimensional observations remains a key challenge in developingfully autonomous systems. We consider a particularly important instance of thischallenge, the pixels-to-torques problem, where an RL agent learns aclosed-loop control policy (""torques"") from pixel information only. Weintroduce a data-efficient, model-based reinforcement learning algorithm thatlearns such a closed-loop policy directly from pixel information. The keyingredient is a deep dynamical model for learning a low-dimensional featureembedding of images jointly with a predictive model in this low-dimensionalfeature space. Joint learning is crucial for long-term predictions, which lieat the core of the adaptive nonlinear model predictive control strategy that weuse for closed-loop control. Compared to state-of-the-art RL methods forcontinuous states and actions, our approach learns quickly, scales tohigh-dimensional state spaces, is lightweight and an important step towardfully autonomous end-to-end learning from pixels to torques.",Data-Efficient Learning of Feedback Policies from Image Pixels using  Deep Dynamical Models
329,,,,,,"This paper addresses classification tasks on a particular target domain inwhich labeled training data are only available from source domains differentfrom (but related to) the target. Two closely related frameworks, domainadaptation and domain generalization, are concerned with such tasks, where theonly difference between those frameworks is the availability of the unlabeledtarget data: domain adaptation can leverage unlabeled target information, whiledomain generalization cannot. We propose Scatter Component Analyis (SCA), afast representation learning algorithm that can be applied to both domainadaptation and domain generalization. SCA is based on a simple geometricalmeasure, i.e., scatter, which operates on reproducing kernel Hilbert space. SCAfinds a representation that trades between maximizing the separability ofclasses, minimizing the mismatch between domains, and maximizing theseparability of data; each of which is quantified through scatter. Theoptimization problem of SCA can be reduced to a generalized eigenvalue problem,which results in a fast and exact solution. Comprehensive experiments onbenchmark cross-domain object recognition datasets verify that SCA performsmuch faster than several state-of-the-art algorithms and also providesstate-of-the-art classification accuracy in both domain adaptation and domaingeneralization. We also show that scatter can be used to establish atheoretical generalization bound in the case of domain adaptation.",Scatter Component Analysis: A Unified Framework for Domain Adaptation  and Domain Generalization
330,Physics,Physics,,,,"Matrix rank minimization problem is in general NP-hard. The nuclear norm isused to substitute the rank function in many recent studies. Nevertheless, thenuclear norm approximation adds all singular values together and theapproximation error may depend heavily on the magnitudes of singular values.This might restrict its capability in dealing with many practical problems. Inthis paper, an arctangent function is used as a tighter approximation to therank function. We use it on the challenging subspace clustering problem. Forthis nonconvex minimization problem, we develop an effective optimizationprocedure based on a type of augmented Lagrange multipliers (ALM) method.Extensive experiments on face clustering and motion segmentation show that theproposed method is effective for rank approximation.",Robust Subspace Clustering via Tighter Rank Approximation
331,,,,,,"The human face constantly conveys information, both consciously andsubconsciously. However, as basic as it is for humans to visually interpretthis information, it is quite a big challenge for machines. Conventionalsemantic facial feature recognition and analysis techniques are already in useand are based on physiological heuristics, but they suffer from lack ofrobustness and high computation time. This thesis aims to explore ways formachines to learn to interpret semantic information available in faces in anautomated manner without requiring manual design of feature detectors, usingthe approach of Deep Learning. This thesis provides a study of the effects ofvarious factors and hyper-parameters of deep neural networks in the process ofdetermining an optimal network configuration for the task of semantic facialfeature recognition. This thesis explores the effectiveness of the system torecognize the various semantic features (like emotions, age, gender, ethnicityetc.) present in faces. Furthermore, the relation between the effect ofhigh-level concepts on low level features is explored through an analysis ofthe similarities in low-level descriptors of different semantic features. Thisthesis also demonstrates a novel idea of using a deep network to generate 3-DActive Appearance Models of faces from real-world 2-D images.  For a more detailed report on this work, please see [arXiv:1512.00743v1].",Recognizing Semantic Features in Faces using Deep Learning
332,,,,,,"In this paper, we propose a novel unsupervised domain adaptation algorithmbased on deep learning for visual object recognition. Specifically, we design anew model called Deep Reconstruction-Classification Network (DRCN), whichjointly learns a shared encoding representation for two tasks: i) supervisedclassification of labeled source data, and ii) unsupervised reconstruction ofunlabeled target data.In this way, the learnt representation not only preservesdiscriminability, but also encodes useful information from the target domain.Our new DRCN model can be optimized by using backpropagation similarly as thestandard neural networks.  We evaluate the performance of DRCN on a series of cross-domain objectrecognition tasks, where DRCN provides a considerable improvement (up to ~8% inaccuracy) over the prior state-of-the-art algorithms. Interestingly, we alsoobserve that the reconstruction pipeline of DRCN transforms images from thesource domain into images whose appearance resembles the target dataset. Thissuggests that DRCN's performance is due to constructing a single compositerepresentation that encodes information about both the structure of targetimages and the classification of source images. Finally, we provide a formalanalysis to justify the algorithm's objective in domain adaptation context.",Deep Reconstruction-Classification Networks for Unsupervised Domain  Adaptation
333,Physics,Physics,,,,Finding the most effective way to aggregate multi-subject fMRI data is along-standing and challenging problem. It is of increasing interest incontemporary fMRI studies of human cognition due to the scarcity of data persubject and the variability of brain anatomy and functional response acrosssubjects. Recent work on latent factor models shows promising results in thistask but this approach does not preserve spatial locality in the brain. Weexamine two ways to combine the ideas of a factor model and a searchlight basedanalysis to aggregate multi-subject fMRI data while preserving spatiallocality. We first do this directly by combining a recent factor method knownas a shared response model with searchlight analysis. Then we design amulti-view convolutional autoencoder for the same task. Both approachespreserve spatial locality and have competitive or better performance comparedwith standard searchlight analysis and the shared response model applied acrossthe whole brain. We also report a system design to handle the computationalchallenge of training the convolutional autoencoder.,A Convolutional Autoencoder for Multi-Subject fMRI Data Aggregation
334,,,,,,"One way to solve lasso problems when the dictionary does not fit intoavailable memory is to first screen the dictionary to remove unneeded features.Prior research has shown that sequential screening methods offer the greatestpromise in this endeavor. Most existing work on sequential screening targetsthe context of tuning parameter selection, where one screens and solves asequence of $N$ lasso problems with a fixed grid of geometrically spacedregularization parameters. In contrast, we focus on the scenario where a targetregularization parameter has already been chosen via cross-validated modelselection, and we then need to solve many lasso instances using this fixedvalue. In this context, we propose and explore a feedback controlled sequentialscreening scheme. Feedback is used at each iteration to select the next problemto be solved. This allows the sequence of problems to be adapted to theinstance presented and the number of intermediate problems to be automaticallyselected. We demonstrate our feedback scheme using several datasets including adictionary of approximate size 100,000 by 300,000.",Feedback-Controlled Sequential Lasso Screening
335,,,,,,"Recently dictionary screening has been proposed as an effective way toimprove the computational efficiency of solving the lasso problem, which is oneof the most commonly used method for learning sparse representations. Toaddress today's ever increasing large dataset, effective screening relies on atight region bound on the solution to the dual lasso. Typical region bounds arein the form of an intersection of a sphere and multiple half spaces. One way totighten the region bound is using more half spaces, which however, adds to theoverhead of solving the high dimensional optimization problem in lassoscreening. This paper reveals the interesting property that the optimizationproblem only depends on the projection of features onto the subspace spanned bythe normals of the half spaces. This property converts an optimization problemin high dimension to much lower dimension, and thus sheds light on reducing thecomputation overhead of lasso screening based on tighter region bounds.",The Symmetry of a Simple Optimization Problem in Lasso Screening
336,,,,,,"Zero-Shot learning has been shown to be an efficient strategy for domainadaptation. In this context, this paper builds on the recent work of Bucher etal. [1], which proposed an approach to solve Zero-Shot classification problems(ZSC) by introducing a novel metric learning based objective function. Thisobjective function allows to learn an optimal embedding of the attributesjointly with a measure of similarity between images and attributes. This paperextends their approach by proposing several schemes to control the generationof the negative pairs, resulting in a significant improvement of theperformance and giving above state-of-the-art results on three challenging ZSCdatasets.",Hard Negative Mining for Metric Learning Based Zero-Shot Classification
337,,,,,,"In this paper, we deal with two challenges for measuring the similarity ofthe subject identities in practical video-based face recognition - thevariation of the head pose in uncontrolled environments and the computationalexpense of processing videos. Since the frame-wise feature mean is unable tocharacterize the pose diversity among frames, we define and preserve theoverall pose diversity and closeness in a video. Then, identity will be theonly source of variation across videos since the pose varies even within asingle video. Instead of simply using all the frames, we select those faceswhose pose point is closest to the centroid of the K-means cluster containingthat pose point. Then, we represent a video as a bag of frame-wise deep facefeatures while the number of features has been reduced from hundreds to K.Since the video representation can well represent the identity, now we measurethe subject similarity between two videos as the max correlation among allpossible pairs in the two bags of features. On the official 5,000 video-pairsof the YouTube Face dataset for face verification, our algorithm achieves acomparable performance with VGG-face that averages over deep features of allframes. Other vision tasks can also benefit from the generic idea of employinggeometric cues to improve the descriptiveness of deep features.",Pose-Selective Max Pooling for Measuring Similarity
338,Chemistry,,,Chemistry,,"A fall is an abnormal activity that occurs rarely, so it is hard to collectreal data for falls. It is, therefore, difficult to use supervised learningmethods to automatically detect falls. Another challenge in using machinelearning methods to automatically detect falls is the choice of engineeredfeatures. In this paper, we propose to use an ensemble of autoencoders toextract features from different channels of wearable sensor data trained onlyon normal activities. We show that the traditional approach of choosing athreshold as the maximum of the reconstruction error on the training normaldata is not the right way to identify unseen falls. We propose two methods forautomatic tightening of reconstruction error from only the normal activitiesfor better identification of unseen falls. We present our results on twoactivity recognition datasets and show the efficacy of our proposed methodagainst traditional autoencoder models and two standard one-classclassification methods.",Detecting Unseen Falls from Wearable Devices using Channel-wise Ensemble  of Autoencoders
339,,,,,,"This paper studies the generalization error of invariant classifiers. Inparticular, we consider the common scenario where the classification task isinvariant to certain transformations of the input, and that the classifier isconstructed (or learned) to be invariant to these transformations. Our approachrelies on factoring the input space into a product of a base space and a set oftransformations. We show that whereas the generalization error of anon-invariant classifier is proportional to the complexity of the input space,the generalization error of an invariant classifier is proportional to thecomplexity of the base space. We also derive a set of sufficient conditions onthe geometry of the base space and the set of transformations that ensure thatthe complexity of the base space is much smaller than the complexity of theinput space. Our analysis applies to general classifiers such as convolutionalneural networks. We demonstrate the implications of the developed theory forsuch classifiers with experiments on the MNIST and CIFAR-10 datasets.",Generalization Error of Invariant Classifiers
340,DV,DV,,,,"Given a state-of-the-art deep neural network classifier, we show theexistence of a universal (image-agnostic) and very small perturbation vectorthat causes natural images to be misclassified with high probability. Wepropose a systematic algorithm for computing universal perturbations, and showthat state-of-the-art deep neural networks are highly vulnerable to suchperturbations, albeit being quasi-imperceptible to the human eye. We furtherempirically analyze these universal perturbations and show, in particular, thatthey generalize very well across neural networks. The surprising existence ofuniversal perturbations reveals important geometric correlations among thehigh-dimensional decision boundary of classifiers. It further outlinespotential security breaches with the existence of single directions in theinput space that adversaries can possibly exploit to break a classifier on mostnatural images.",Universal adversarial perturbations
341,,,,,,"Limited annotated data available for the recognition of facial expression andaction units embarrasses the training of deep networks, which can learndisentangled invariant features. However, a linear model with just severalparameters normally is not demanding in terms of training data. In this paper,we propose an elegant linear model to untangle confounding factors inchallenging realistic multichannel signals such as 2D face videos. The simpleyet powerful model does not rely on huge training data and is natural forrecognizing facial actions without explicitly disentangling the identity. Baseon well-understood intuitive linear models such as Sparse Representation basedClassification (SRC), previous attempts require a prepossessing of explicitdecoupling which is practically inexact. Instead, we exploit the low-rankproperty across frames to subtract the underlying neutral faces which aremodeled jointly with sparse representation on the action components with groupsparsity enforced. On the extended Cohn-Kanade dataset (CK+), our one-shotautomatic method on raw face videos performs as competitive as SRC applied onmanually prepared action components and performs even better than SRC in termsof true positive rate. We apply the model to the even more challenging task offacial action unit recognition, verified on the MPI Face Video Database(MPI-VDB) achieving a decent performance. All the programs and data have beenmade publicly available.",Linear Disentangled Representation Learning for Facial Actions
342,,,,,,"Machine learning and deep learning in particular has advanced tremendously onperceptual tasks in recent years. However, it remains vulnerable againstadversarial perturbations of the input that have been crafted specifically tofool the system while being quasi-imperceptible to a human. In this work, wepropose to augment deep neural networks with a small ""detector"" subnetworkwhich is trained on the binary classification task of distinguishing genuinedata from data containing adversarial perturbations. Our method is orthogonalto prior work on addressing adversarial perturbations, which has mostly focusedon making the classification network itself more robust. We show empiricallythat adversarial perturbations can be detected surprisingly well even thoughthey are quasi-imperceptible to humans. Moreover, while the detectors have beentrained to detect only a specific adversary, they generalize to similar andweaker adversaries. In addition, we propose an adversarial attack that foolsboth the classifier and the detector and a novel training procedure for thedetector that counteracts this attack.",On Detecting Adversarial Perturbations
